repo,id,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,majority_vote,final_label
ViveSoftware/ViveInputUtility-Unity,19,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
secondlife/viewer,2186,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,31335,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,555,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,2004,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,17876,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,6153,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrchatapi/vrchatapi.github.io,69,non_visual,non_visual,non_visual,visual,non_visual,non_visual,non_visual
caelum/vraptor4,560,non_visual,non_visual,non_visual,non_visual,visual,non_visual,non_visual
AltspaceVR/AltspaceSDK,167,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Raphiiko/OyasumiVR,88,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
xbapps/xbvr,1911,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,24171,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vizorvr/patches,1686,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,16338,visual,visual,visual,visual,visual,visual,visual
nagadomi/nunif,35,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
dotnet/Silk.NET,574,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
badlogic/gdx-vr,3,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
archilogic-com/3dio-js,5,visual,visual,visual,visual,visual,visual,visual
V-Sekai/godot-vrm,11,visual,visual,visual,visual,visual,visual,visual
webaverse/app,2118,visual,visual,visual,visual,visual,visual,visual
viromedia/viro,549,visual,visual,visual,non_visual,visual,visual,visual
Kariaro/VRigUnity,60,visual,visual,visual,visual,visual,visual,visual
Samsung/GearVRf,6,non_visual,non_visual,non_visual,visual,non_visual,non_visual,non_visual
dani/vroom,45,visual,visual,visual,visual,visual,visual,visual
facebookarchive/react-360,793,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
aardvarkxr/aardvark,181,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ValveSoftware/steam-audio,234,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,21605,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Siddhant-Patil0203/ARcane,24,visual,visual,visual,visual,visual,visual,visual
secondlife/viewer,3621,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ValveSoftware/steamvr_unity_plugin,481,visual,visual,visual,visual,visual,visual,visual
aframevr/aframe,4856,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,30415,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
hammy275/immersive-mc,271,visual,visual,visual,visual,visual,visual,visual
SlimeVR/SlimeVR-Docs-Site,82,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vectordotdev/vrl,503,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
exokitxr/exokit,1354,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,15331,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
StereoKit/StereoKit,93,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
unavi-xyz/unavi,311,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
BlackStartx/VRC-Gesture-Manager,13,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ExtendRealityLtd/VRTK,1155,visual,non_visual,visual,visual,visual,visual,visual
ValveSoftware/openvr,857,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
aframevr/aframe,1153,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
aframevr/aframe,2828,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,18700,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,19155,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,8342,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
JAYESHBATRA/Virtuo-Learn,447,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
immersive-web/webxr,280,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrm-c/vrm.dev,168,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
KhronosGroup/OpenXR-Docs,98,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,25023,visual,visual,visual,visual,visual,visual,visual
KhronosGroup/OpenXR-SDK-Source,103,non_visual,non_visual,visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,4882,visual,visual,visual,visual,non_visual,visual,visual
bulletphysics/bullet3,3080,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,28070,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ronellsicat/DxR,4,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
CognitiveVR/cvr-sdk-unity,147,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
webaverse/app,2406,visual,visual,visual,visual,visual,visual,visual
vrm-c/UniVRM,214,visual,visual,visual,visual,visual,visual,visual
ValveSoftware/openvr,452,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
unavi-xyz/unavi,509,visual,visual,visual,visual,visual,visual,visual
visionn/crespi,24,non_visual,non_visual,non_visual,visual,non_visual,non_visual,non_visual
webaverse/app,221,non_visual,visual,visual,visual,visual,visual,visual
Raicuparta/two-forks-vr,31,visual,visual,visual,visual,visual,visual,visual
nanome-ai/nanome-lib,237,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ValveSoftware/SteamVR-for-Linux,632,visual,visual,visual,visual,visual,visual,visual
PhoneVR-Developers/PhoneVR,228,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
ValveSoftware/steamvr_unreal_plugin,54,visual,visual,visual,visual,visual,visual,visual
aframevr/aframe,2532,visual,visual,visual,visual,visual,visual,visual
caelum/vraptor4,616,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vizorvr/patches,1721,visual,visual,visual,visual,visual,visual,visual
googlevr/gvr-unity-sdk,87,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vircadia/vircadia-native-core,29,visual,visual,visual,visual,visual,visual,visual
collabora/libsurvive,276,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
dotnet/Silk.NET,968,visual,visual,visual,visual,visual,visual,visual
viromedia/viro,1015,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
watson-developer-cloud/unity-sdk,309,visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
secondlife/viewer,1784,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vrc-get/vrc-get,2074,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
SubsurfaceStudios/CompensationAPI,255,non_visual,visual,non_visual,non_visual,non_visual,non_visual,non_visual
VROOM-Project/vroom,220,visual,visual,visual,visual,visual,visual,visual
StereoKit/StereoKit,332,visual,non_visual,visual,visual,visual,visual,visual
ExtendRealityLtd/VRTK,1168,visual,visual,visual,visual,visual,visual,visual
dghost/quake2vr,7,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
dantman/elite-vr-cockpit,309,visual,visual,visual,visual,visual,visual,visual
ultraleap/UnityPlugin,1234,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
Unity-Technologies/InputSystem,358,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
playcanvas/engine,5498,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
bulletphysics/bullet3,1766,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
processing/processing-android,102,visual,visual,visual,visual,non_visual,visual,visual
Raicuparta/nomai-vr,40,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,7444,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
webaverse/app,324,visual,visual,visual,visual,visual,visual,visual
mrdoob/three.js,12723,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
cybensis/SPT-VR,3,visual,visual,visual,visual,visual,visual,visual
MozillaReality/WebXR-emulator-extension,248,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
immersive-web/webxr-input-profiles,144,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
mrdoob/three.js,15142,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vircadia/vircadia-web,56,visual,visual,visual,visual,visual,visual,visual
vrc-get/vrc-get,524,visual,visual,visual,visual,visual,visual,visual
skalnik/vim-vroom,62,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
PhoneVR-Developers/PhoneVR,227,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
vizorvr/patches,725,visual,visual,visual,visual,visual,visual,visual
caelum/vraptor4,286,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual,non_visual
